,,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,LV,LT,AT,BE,DE-LU,FR,NL,,,SE1,DK1,Oslo,FI
1/1/2020,1,30.84,-1.73,-1.73,-1.73,-1.96,-1.73,-58.8,-42.66,-1.73,31.82,31.82,28.78,28.78,28.78,28.78,28.78,28.78,41.88,-115.31,-83.94,-75.82,41.88,,1,219.53,232.0464,115.9072,295.1504
1/1/2020,2,30.63,-1.36,-1.36,-1.36,-1.73,-1.36,-55.77,-42.1,-1.36,31.77,31.77,28.45,28.45,28.45,28.45,28.45,28.45,38.6,-91.37,-80.09,-66.47,38.6,,2,171.1464,219.53,108.2744,233.0324
1/1/2020,3,30.38,-0.93,-0.93,-0.93,-1.36,-0.93,-49.97,-33.59,-0.93,31.57,31.57,27.9,27.9,27.9,27.9,27.9,27.9,36.55,-90.13,-80.02,-48.17,36.55,,3,166.4948,171.8888,105.4904,232.0696
1/1/2020,4,30.04,-0.2,-0.2,-0.2,-0.93,-0.2,-49.94,-30.04,-0.09,31.28,31.28,27.52,27.52,27.52,27.52,27.52,27.52,32.32,-90,-79.74,-41.98,32.32,,4,162.922,151.4844,104.6204,231.9652
1/1/2020,5,29.56,-0.1,-0.1,-0.1,-0.2,-0.1,-48.2,-25,-0.04,30.72,30.72,27.54,27.54,27.54,27.54,27.54,27.54,30.85,-90,-78.15,-40.79,30.85,,5,159.4304,148.8396,104.5392,231.9536
1/1/2020,6,28.1,-0.09,-0.09,-0.09,-0.1,-0.09,-47,-15.04,0,30.27,30.27,26.55,26.55,26.55,26.55,26.55,26.55,30.14,-90,-78.09,-39.93,30.14,,6,156.1128,139.9192,104.4232,231.942
1/1/2020,7,27.57,-0.09,-0.09,-0.09,-0.09,-0.09,-40.26,-15.02,0.01,30.17,30.17,25.83,25.83,25.83,25.83,25.83,25.83,30.17,-90,-78,-33.05,30.17,,7,155.8344,132.24,104.2028,231.9304
1/1/2020,8,27.35,-0.07,-0.07,-0.07,-0.09,-0.07,-36.62,-14.9,0.02,30.14,30.14,25.07,25.07,25.07,25.07,25.07,25.07,30,-80.83,-74.97,-32.64,30,,8,151.4844,128.2496,103.8432,231.9188
1/1/2020,9,27.99,-0.04,-0.04,-0.04,-0.07,-0.04,-35.83,-13.76,0.03,30.49,30.49,25.65,25.65,25.65,25.65,25.65,25.65,30.65,-65.19,-74.97,-28.1,30.65,,9,145.2668,127.7508,97.4864,231.8956
1/1/2020,10,28.36,0,0,0,-0.04,0,-34.73,-12.18,0.04,30.59,30.59,26.15,26.15,26.15,26.15,26.15,26.15,30.65,-63.29,-74.97,-27.76,30.65,,10,113.9004,123.366,78.938,228.984
