,,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,LV,LT,AT,BE,DE-LU,FR,NL
1/1/2020,1,30.84,28.78,28.78,28.78,28.78,28.78,33.42,33.42,31.82,31.82,31.82,28.78,28.78,28.78,28.78,28.78,28.78,41.88,41.88,41.88,41.88,41.88
1/1/2020,2,30.63,28.45,28.45,28.45,28.45,28.45,31.77,31.77,31.77,31.77,31.77,28.45,28.45,28.45,28.45,28.45,28.45,38.6,38.6,38.6,38.6,38.6
1/1/2020,3,30.38,27.9,27.9,27.9,27.9,27.9,31.57,31.57,31.57,31.57,31.57,27.9,27.9,27.9,27.9,27.9,27.9,36.55,36.55,36.55,36.55,36.55
1/1/2020,4,30.04,27.52,27.52,27.52,27.52,27.52,31.28,31.28,31.28,31.28,31.28,27.52,27.52,27.52,27.52,27.52,27.52,32.32,32.32,32.32,32.32,32.32
1/1/2020,5,29.56,27.54,27.54,27.54,27.54,27.54,30.85,30.85,30.72,30.72,30.72,27.54,27.54,27.54,27.54,27.54,27.54,30.85,30.85,30.85,30.85,30.85
1/1/2020,6,28.1,26.55,26.55,26.55,26.55,26.55,30.14,30.14,30.27,30.27,30.27,26.55,26.55,26.55,26.55,26.55,26.55,30.14,30.14,30.14,30.14,30.14
1/1/2020,7,27.57,25.83,25.83,25.83,25.83,25.83,30.17,30.17,30.17,30.17,30.17,25.83,25.83,25.83,25.83,25.83,25.83,30.17,30.17,30.17,30.17,30.17
1/1/2020,8,27.35,25.07,25.07,25.07,25.07,25.07,30,30,30.14,30.14,30.14,25.07,25.07,25.07,25.07,25.07,25.07,30,30,30,30,30
1/1/2020,9,27.99,25.65,25.65,25.65,25.65,25.65,30.63,30.63,30.49,30.49,30.49,25.65,25.65,25.65,25.65,25.65,25.65,30.65,30.65,30.65,30.65,30.65
1/1/2020,10,28.36,26.15,26.15,26.15,26.15,26.15,30.59,30.59,30.59,30.59,30.59,26.15,26.15,26.15,26.15,26.15,26.15,30.65,30.65,30.65,30.65,30.65
