-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2016 through 12/31/2020 
Location: Latitude  19.6   Longitude -3.0 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 275.15 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
WS10M     MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,HR,WS10M
2016,1,1,0,4.72
2016,1,1,1,4.83
2016,1,1,2,4.79
2016,1,1,3,4.63
2016,1,1,4,4.01
2016,1,1,5,3.9
2016,1,1,6,3.94
2016,1,1,7,4.69
2016,1,1,8,5.53
2016,1,1,9,4.75
2016,1,1,10,5.8
2016,1,1,11,6.48
2016,1,1,12,5.96
2016,1,1,13,5.16
2016,1,1,14,4.7
2016,1,1,15,4.09
2016,1,1,16,2.8
2016,1,1,17,3.34
2016,1,1,18,3.77
2016,1,1,19,4.17
2016,1,1,20,4.43
2016,1,1,21,4.56
2016,1,1,22,4.81
2016,1,1,23,5.06
2016,1,2,0,5.32
2016,1,2,1,5.84
2016,1,2,2,5.72
2016,1,2,3,4.93
2016,1,2,4,4.27
2016,1,2,5,3.61
2016,1,2,6,3.07
2016,1,2,7,2.88
2016,1,2,8,3.99
2016,1,2,9,4.21
2016,1,2,10,6.57
2016,1,2,11,6.97
2016,1,2,12,6.66
2016,1,2,13,6.32
2016,1,2,14,5.92
2016,1,2,15,5.57
2016,1,2,16,4.12
2016,1,2,17,3.48
2016,1,2,18,3.72
2016,1,2,19,3.78
2016,1,2,20,3.61
2016,1,2,21,3.67
2016,1,2,22,4.08
2016,1,2,23,4.13
2016,1,3,0,4.3
2016,1,3,1,4.29
2016,1,3,2,4.15
2016,1,3,3,4.09
2016,1,3,4,3.89
2016,1,3,5,3.89
2016,1,3,6,3.9
2016,1,3,7,4.5
2016,1,3,8,5.08
2016,1,3,9,5.05
2016,1,3,10,6.16
2016,1,3,11,7.78
2016,1,3,12,7.99
2016,1,3,13,7.56
2016,1,3,14,6.96
2016,1,3,15,6.14
2016,1,3,16,3.89
2016,1,3,17,3.21
2016,1,3,18,3.36
2016,1,3,19,3.56
2016,1,3,20,4.01
2016,1,3,21,4.61
2016,1,3,22,4.81
2016,1,3,23,5.05
2016,1,4,0,4.71
2016,1,4,1,4.1
2016,1,4,2,3.55
2016,1,4,3,3.24
2016,1,4,4,3.4
2016,1,4,5,3.89
2016,1,4,6,4.95
2016,1,4,7,5.72
2016,1,4,8,5.33
2016,1,4,9,4.44
2016,1,4,10,5.36
2016,1,4,11,5.93
2016,1,4,12,6.26
2016,1,4,13,6.21
2016,1,4,14,6.27
2016,1,4,15,5.16
2016,1,4,16,3.06
2016,1,4,17,2.86
2016,1,4,18,2.91
2016,1,4,19,2.94
2016,1,4,20,3.11
2016,1,4,21,3.2
2016,1,4,22,2.74
2016,1,4,23,2.36
2016,1,5,0,3.12
2016,1,5,1,3.23
2016,1,5,2,3.31
2016,1,5,3,3.39
2016,1,5,4,3.2
2016,1,5,5,2.96
2016,1,5,6,2.74
2016,1,5,7,2.66
2016,1,5,8,3.41
2016,1,5,9,2.61
2016,1,5,10,2.19
2016,1,5,11,2.42
2016,1,5,12,2.96
2016,1,5,13,3.13
2016,1,5,14,2.61
2016,1,5,15,1.98
2016,1,5,16,1.34
2016,1,5,17,0.56
2016,1,5,18,0.59
2016,1,5,19,1.34
2016,1,5,20,1.33
2016,1,5,21,1.37
2016,1,5,22,1.41
2016,1,5,23,1.49
2016,1,6,0,1.63
2016,1,6,1,1.85
2016,1,6,2,2.29
2016,1,6,3,2.54
2016,1,6,4,2.52
2016,1,6,5,2.63
2016,1,6,6,2.85
2016,1,6,7,3.25
2016,1,6,8,4.96
2016,1,6,9,5.5
2016,1,6,10,4.94
2016,1,6,11,5.42
2016,1,6,12,6.06
2016,1,6,13,6.22
2016,1,6,14,6.07
2016,1,6,15,5.07
2016,1,6,16,3.07
2016,1,6,17,3.04
2016,1,6,18,2.94
2016,1,6,19,2.72
2016,1,6,20,2.78
2016,1,6,21,2.92
2016,1,6,22,3.37
2016,1,6,23,3.9
2016,1,7,0,3.42
2016,1,7,1,2.79
2016,1,7,2,2.97
2016,1,7,3,3.84
2016,1,7,4,4.55
2016,1,7,5,5.18
2016,1,7,6,4.89
2016,1,7,7,4.31
2016,1,7,8,6.3
2016,1,7,9,7.59
2016,1,7,10,7.7
2016,1,7,11,7.32
2016,1,7,12,6.66
2016,1,7,13,6.14
2016,1,7,14,5.92
2016,1,7,15,5.55
2016,1,7,16,4.42
2016,1,7,17,3.46
2016,1,7,18,3.34
2016,1,7,19,3.25
2016,1,7,20,3.09
2016,1,7,21,2.9
2016,1,7,22,2.63
2016,1,7,23,2.26
2016,1,8,0,2.06
2016,1,8,1,1.8
2016,1,8,2,1.7
2016,1,8,3,1.95
2016,1,8,4,2.44
2016,1,8,5,3.48
2016,1,8,6,4.39
2016,1,8,7,4.95
2016,1,8,8,4.9
2016,1,8,9,4.04
2016,1,8,10,3.81
2016,1,8,11,3.73
2016,1,8,12,3.55
2016,1,8,13,3.39
2016,1,8,14,3.17
2016,1,8,15,2.93
2016,1,8,16,1.84
2016,1,8,17,1.85
2016,1,8,18,1.77
2016,1,8,19,1.78
2016,1,8,20,1.85
2016,1,8,21,1.95
2016,1,8,22,2.15
2016,1,8,23,2.22
2016,1,9,0,2.23
2016,1,9,1,2.58
2016,1,9,2,2.86
2016,1,9,3,3.04
2016,1,9,4,3.12
2016,1,9,5,3.11
2016,1,9,6,3.03
2016,1,9,7,2.75
2016,1,9,8,3.29
2016,1,9,9,2.63
2016,1,9,10,1.77
2016,1,9,11,1.73
2016,1,9,12,2.08
2016,1,9,13,2.35
2016,1,9,14,2.59
2016,1,9,15,2.87
2016,1,9,16,2.16
2016,1,9,17,2.55
2016,1,9,18,2.82
2016,1,9,19,3.14
2016,1,9,20,3.37
2016,1,9,21,3.45
2016,1,9,22,3.49
2016,1,9,23,3.65
2016,1,10,0,3.92
2016,1,10,1,4.11
2016,1,10,2,4.23
2016,1,10,3,4.23
2016,1,10,4,4.07
2016,1,10,5,3.94
2016,1,10,6,3.83
2016,1,10,7,4.24
2016,1,10,8,5.05
2016,1,10,9,4.15
2016,1,10,10,4.46
2016,1,10,11,6.43
2016,1,10,12,5.82
2016,1,10,13,5.13
2016,1,10,14,4.61
2016,1,10,15,4.49
2016,1,10,16,3.1
2016,1,10,17,3.3
2016,1,10,18,3.59
2016,1,10,19,3.75
2016,1,10,20,3.86
2016,1,10,21,3.95
2016,1,10,22,4.06
2016,1,10,23,4.14
2016,1,11,0,4.26
2016,1,11,1,4.44
2016,1,11,2,4.54
2016,1,11,3,4.7
2016,1,11,4,5.08
2016,1,11,5,5.03
2016,1,11,6,4.77
2016,1,11,7,5.32
2016,1,11,8,5.3
2016,1,11,9,4.67
2016,1,11,10,4.52
2016,1,11,11,5.67
2016,1,11,12,5.8
2016,1,11,13,5.57
2016,1,11,14,5.13
2016,1,11,15,4.58
2016,1,11,16,2.87
2016,1,11,17,3.37
2016,1,11,18,3.8
2016,1,11,19,4.04
2016,1,11,20,4.15
2016,1,11,21,4.16
2016,1,11,22,4.16
2016,1,11,23,4.2
2016,1,12,0,4.26
2016,1,12,1,4.36
2016,1,12,2,4.44
2016,1,12,3,4.47
2016,1,12,4,4.38
2016,1,12,5,4.25
2016,1,12,6,4.15
2016,1,12,7,4.85
2016,1,12,8,5.5
2016,1,12,9,4.4
2016,1,12,10,3.73
2016,1,12,11,4.95
2016,1,12,12,6.47
2016,1,12,13,5.84
2016,1,12,14,5.16
2016,1,12,15,4.4
2016,1,12,16,2.81
2016,1,12,17,3.27
2016,1,12,18,3.64
2016,1,12,19,3.95
2016,1,12,20,4.02
2016,1,12,21,3.96
2016,1,12,22,3.95
2016,1,12,23,3.97
2016,1,13,0,3.93
2016,1,13,1,3.87
2016,1,13,2,3.88
2016,1,13,3,3.95
2016,1,13,4,3.94
2016,1,13,5,3.88
2016,1,13,6,3.83
2016,1,13,7,3.84
2016,1,13,8,5.38
2016,1,13,9,4.79
2016,1,13,10,4.25
2016,1,13,11,5.63
2016,1,13,12,6.92
2016,1,13,13,6.53
2016,1,13,14,6.33
2016,1,13,15,5.82
2016,1,13,16,3.51
2016,1,13,17,3.51
2016,1,13,18,3.48
2016,1,13,19,3.42
2016,1,13,20,3.32
2016,1,13,21,3.32
2016,1,13,22,3.56
2016,1,13,23,3.87
2016,1,14,0,4.09
2016,1,14,1,4.18
2016,1,14,2,4.34
2016,1,14,3,4.76
2016,1,14,4,5.3
2016,1,14,5,5.76
2016,1,14,6,5.26
2016,1,14,7,5.03
2016,1,14,8,4.54
2016,1,14,9,3.28
2016,1,14,10,2.81
2016,1,14,11,5.69
2016,1,14,12,5.93
2016,1,14,13,5.76
2016,1,14,14,5.65
2016,1,14,15,5.63
2016,1,14,16,3.79
2016,1,14,17,3.81
2016,1,14,18,4.11
2016,1,14,19,4.23
2016,1,14,20,4.31
2016,1,14,21,4.35
2016,1,14,22,4.43
2016,1,14,23,4.52
2016,1,15,0,4.55
2016,1,15,1,4.56
2016,1,15,2,4.63
2016,1,15,3,4.65
2016,1,15,4,4.57
2016,1,15,5,4.35
2016,1,15,6,4.08
2016,1,15,7,4.69
2016,1,15,8,4.79
2016,1,15,9,3.68
2016,1,15,10,3.16
2016,1,15,11,3.13
2016,1,15,12,2.98
2016,1,15,13,2.24
2016,1,15,14,1.88
2016,1,15,15,1.97
2016,1,15,16,1.77
2016,1,15,17,2.28
2016,1,15,18,2.75
2016,1,15,19,3.12
2016,1,15,20,3.28
2016,1,15,21,3.32
2016,1,15,22,3.41
2016,1,15,23,3.54
2016,1,16,0,3.64
2016,1,16,1,3.74
2016,1,16,2,3.81
2016,1,16,3,3.89
2016,1,16,4,3.98
2016,1,16,5,3.99
2016,1,16,6,3.92
2016,1,16,7,4.39
2016,1,16,8,5.19
2016,1,16,9,4.18
2016,1,16,10,4.35
2016,1,16,11,5.68
2016,1,16,12,5.76
2016,1,16,13,5.29
2016,1,16,14,4.49
2016,1,16,15,3.26
2016,1,16,16,1.95
2016,1,16,17,2.22
2016,1,16,18,2.81
2016,1,16,19,3.51
2016,1,16,20,4.01
2016,1,16,21,4.25
2016,1,16,22,4.27
2016,1,16,23,4.12
2016,1,17,0,3.92
2016,1,17,1,3.95
2016,1,17,2,4.05
2016,1,17,3,4.2
2016,1,17,4,4.35
2016,1,17,5,4.54
2016,1,17,6,4.69
2016,1,17,7,5.86
2016,1,17,8,6.2
2016,1,17,9,6.06
2016,1,17,10,6.94
2016,1,17,11,6.72
2016,1,17,12,6.36
2016,1,17,13,5.32
2016,1,17,14,4.36
2016,1,17,15,4.31
2016,1,17,16,3.89
2016,1,17,17,4.51
2016,1,17,18,6.13
2016,1,17,19,7.27
2016,1,17,20,7.55
2016,1,17,21,7.38
2016,1,17,22,6.83
2016,1,17,23,5.43
2016,1,18,0,4.38
2016,1,18,1,4.14
2016,1,18,2,4.3
2016,1,18,3,4.55
2016,1,18,4,4.85
2016,1,18,5,5.11
2016,1,18,6,5.23
2016,1,18,7,6.06
2016,1,18,8,5.84
2016,1,18,9,6.44
2016,1,18,10,6.02
2016,1,18,11,5.4
2016,1,18,12,4.67
2016,1,18,13,4.01
2016,1,18,14,3.38
2016,1,18,15,3.28
2016,1,18,16,2.46
2016,1,18,17,3.2
2016,1,18,18,3.73
2016,1,18,19,3.99
2016,1,18,20,4.15
2016,1,18,21,4.34
2016,1,18,22,4.53
2016,1,18,23,4.66
2016,1,19,0,4.89
2016,1,19,1,5.11
2016,1,19,2,5.11
2016,1,19,3,4.91
2016,1,19,4,5.06
2016,1,19,5,4.75
2016,1,19,6,3.97
2016,1,19,7,4.86
2016,1,19,8,4.87
2016,1,19,9,3.98
2016,1,19,10,3.8
2016,1,19,11,3.7
2016,1,19,12,3.5
2016,1,19,13,2.93
2016,1,19,14,2.47
2016,1,19,15,2.26
2016,1,19,16,1.85
2016,1,19,17,2.63
2016,1,19,18,3.34
2016,1,19,19,3.72
2016,1,19,20,3.91
2016,1,19,21,4.03
2016,1,19,22,4.07
2016,1,19,23,4.14
2016,1,20,0,4.22
2016,1,20,1,4.32
2016,1,20,2,4.37
2016,1,20,3,4.32
2016,1,20,4,4.28
2016,1,20,5,4.29
2016,1,20,6,4.33
2016,1,20,7,5.21
2016,1,20,8,4.89
2016,1,20,9,3.89
2016,1,20,10,3.2
2016,1,20,11,2.91
2016,1,20,12,3.0
2016,1,20,13,2.89
2016,1,20,14,2.5
2016,1,20,15,2.18
2016,1,20,16,2.09
2016,1,20,17,2.96
2016,1,20,18,3.5
2016,1,20,19,3.83
2016,1,20,20,4.1
2016,1,20,21,4.14
2016,1,20,22,3.99
2016,1,20,23,3.76
2016,1,21,0,3.56
2016,1,21,1,3.7
2016,1,21,2,3.96
2016,1,21,3,4.08
2016,1,21,4,4.16
2016,1,21,5,4.18
2016,1,21,6,4.16
2016,1,21,7,4.83
2016,1,21,8,4.86
2016,1,21,9,3.82
2016,1,21,10,2.79
2016,1,21,11,3.77
2016,1,21,12,3.96
2016,1,21,13,3.54
2016,1,21,14,3.63
2016,1,21,15,3.45
2016,1,21,16,2.5
2016,1,21,17,3.03
2016,1,21,18,3.58
2016,1,21,19,3.92
2016,1,21,20,4.07
2016,1,21,21,4.17
2016,1,21,22,4.37
2016,1,21,23,4.58
2016,1,22,0,4.6
2016,1,22,1,4.46
2016,1,22,2,4.76
2016,1,22,3,4.78
2016,1,22,4,4.82
2016,1,22,5,4.56
2016,1,22,6,5.55
2016,1,22,7,6.16
2016,1,22,8,5.92
2016,1,22,9,5.58
2016,1,22,10,6.52
2016,1,22,11,8.32
2016,1,22,12,8.55
2016,1,22,13,8.06
2016,1,22,14,7.61
2016,1,22,15,7.02
2016,1,22,16,5.26
2016,1,22,17,4.69
2016,1,22,18,5.6
2016,1,22,19,6.39
2016,1,22,20,5.96
2016,1,22,21,5.92
2016,1,22,22,5.43
2016,1,22,23,5.47
2016,1,23,0,5.53
2016,1,23,1,5.99
2016,1,23,2,6.22
2016,1,23,3,6.08
2016,1,23,4,6.52
2016,1,23,5,7.0
2016,1,23,6,7.33
2016,1,23,7,7.98
2016,1,23,8,8.04
2016,1,23,9,9.84
2016,1,23,10,10.08
2016,1,23,11,9.76
2016,1,23,12,8.97
2016,1,23,13,7.86
2016,1,23,14,7.0
2016,1,23,15,6.42
2016,1,23,16,4.07
2016,1,23,17,3.82
2016,1,23,18,4.21
2016,1,23,19,4.74
2016,1,23,20,5.2
2016,1,23,21,5.14
2016,1,23,22,4.75
2016,1,23,23,4.32
2016,1,24,0,4.41
2016,1,24,1,4.77
2016,1,24,2,5.43
2016,1,24,3,6.57
2016,1,24,4,7.08
2016,1,24,5,6.53
2016,1,24,6,5.96
2016,1,24,7,6.85
2016,1,24,8,7.5
