-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2016 through 12/31/2020 
Location: Latitude  40.27   Longitude 96.71 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1502.07 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
WS10M     MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,HR,WS10M
2016,1,1,0,3.65
2016,1,1,1,3.74
2016,1,1,2,3.8
2016,1,1,3,3.85
2016,1,1,4,3.84
2016,1,1,5,3.68
2016,1,1,6,3.66
2016,1,1,7,3.91
2016,1,1,8,3.89
2016,1,1,9,4.71
2016,1,1,10,5.92
2016,1,1,11,6.98
2016,1,1,12,7.29
2016,1,1,13,7.1
2016,1,1,14,5.58
2016,1,1,15,4.52
2016,1,1,16,4.98
2016,1,1,17,5.51
2016,1,1,18,5.77
2016,1,1,19,5.95
2016,1,1,20,6.03
2016,1,1,21,5.55
2016,1,1,22,5.12
2016,1,1,23,5.34
2016,1,2,0,5.38
2016,1,2,1,5.3
2016,1,2,2,5.18
2016,1,2,3,5.13
2016,1,2,4,5.1
2016,1,2,5,4.9
2016,1,2,6,4.69
2016,1,2,7,4.85
2016,1,2,8,5.84
2016,1,2,9,6.85
2016,1,2,10,7.6
2016,1,2,11,7.69
2016,1,2,12,7.46
2016,1,2,13,7.06
2016,1,2,14,6.62
2016,1,2,15,5.75
2016,1,2,16,5.0
2016,1,2,17,4.98
2016,1,2,18,5.04
2016,1,2,19,5.02
2016,1,2,20,4.97
2016,1,2,21,4.99
2016,1,2,22,4.96
2016,1,2,23,4.85
2016,1,3,0,4.78
2016,1,3,1,4.73
2016,1,3,2,4.7
2016,1,3,3,4.59
2016,1,3,4,4.35
2016,1,3,5,3.98
2016,1,3,6,3.55
2016,1,3,7,3.16
2016,1,3,8,3.32
2016,1,3,9,4.22
2016,1,3,10,5.05
2016,1,3,11,5.74
2016,1,3,12,6.38
2016,1,3,13,6.72
2016,1,3,14,6.58
2016,1,3,15,4.98
2016,1,3,16,3.81
2016,1,3,17,4.0
2016,1,3,18,4.03
2016,1,3,19,4.1
2016,1,3,20,4.06
2016,1,3,21,3.77
2016,1,3,22,3.23
2016,1,3,23,2.66
2016,1,4,0,2.08
2016,1,4,1,1.43
2016,1,4,2,0.65
2016,1,4,3,0.46
2016,1,4,4,1.31
2016,1,4,5,2.15
2016,1,4,6,2.89
2016,1,4,7,4.69
2016,1,4,8,6.42
2016,1,4,9,6.38
2016,1,4,10,5.9
2016,1,4,11,5.87
2016,1,4,12,6.11
2016,1,4,13,6.74
2016,1,4,14,7.48
2016,1,4,15,7.86
2016,1,4,16,7.84
2016,1,4,17,8.04
2016,1,4,18,8.24
2016,1,4,19,8.62
2016,1,4,20,8.66
2016,1,4,21,8.58
2016,1,4,22,8.48
2016,1,4,23,8.23
2016,1,5,0,7.84
2016,1,5,1,7.43
2016,1,5,2,7.09
2016,1,5,3,6.81
2016,1,5,4,6.48
2016,1,5,5,6.13
2016,1,5,6,5.8
2016,1,5,7,5.85
2016,1,5,8,5.87
2016,1,5,9,5.25
2016,1,5,10,4.19
2016,1,5,11,2.44
2016,1,5,12,1.01
2016,1,5,13,1.38
2016,1,5,14,2.71
2016,1,5,15,2.8
2016,1,5,16,3.17
2016,1,5,17,4.05
2016,1,5,18,5.09
2016,1,5,19,5.7
2016,1,5,20,6.1
2016,1,5,21,6.16
2016,1,5,22,5.38
2016,1,5,23,4.48
2016,1,6,0,3.56
2016,1,6,1,2.8
2016,1,6,2,2.19
2016,1,6,3,1.76
2016,1,6,4,1.55
2016,1,6,5,1.25
2016,1,6,6,0.83
2016,1,6,7,0.33
2016,1,6,8,0.19
2016,1,6,9,0.78
2016,1,6,10,1.56
2016,1,6,11,2.24
2016,1,6,12,2.51
2016,1,6,13,2.15
2016,1,6,14,1.45
2016,1,6,15,2.18
2016,1,6,16,4.01
2016,1,6,17,5.98
2016,1,6,18,6.26
2016,1,6,19,5.89
2016,1,6,20,6.15
2016,1,6,21,6.58
2016,1,6,22,6.79
2016,1,6,23,6.74
2016,1,7,0,6.75
2016,1,7,1,6.94
2016,1,7,2,7.04
2016,1,7,3,7.09
2016,1,7,4,7.01
2016,1,7,5,7.24
2016,1,7,6,7.58
2016,1,7,7,7.88
2016,1,7,8,8.31
2016,1,7,9,8.83
2016,1,7,10,8.5
2016,1,7,11,7.77
2016,1,7,12,7.17
2016,1,7,13,6.71
2016,1,7,14,6.29
2016,1,7,15,5.35
2016,1,7,16,4.57
2016,1,7,17,4.36
2016,1,7,18,3.5
2016,1,7,19,3.15
2016,1,7,20,3.39
2016,1,7,21,3.63
2016,1,7,22,3.55
2016,1,7,23,3.15
2016,1,8,0,2.8
2016,1,8,1,2.63
2016,1,8,2,2.64
2016,1,8,3,2.89
2016,1,8,4,3.02
2016,1,8,5,2.78
2016,1,8,6,2.4
2016,1,8,7,2.39
2016,1,8,8,2.69
2016,1,8,9,1.26
2016,1,8,10,0.54
2016,1,8,11,1.86
2016,1,8,12,3.29
2016,1,8,13,3.89
2016,1,8,14,3.68
2016,1,8,15,2.39
2016,1,8,16,2.6
2016,1,8,17,2.84
2016,1,8,18,2.99
2016,1,8,19,2.92
2016,1,8,20,2.6
2016,1,8,21,2.13
2016,1,8,22,1.69
2016,1,8,23,1.35
2016,1,9,0,1.09
2016,1,9,1,0.98
2016,1,9,2,0.97
2016,1,9,3,1.1
2016,1,9,4,1.27
2016,1,9,5,1.33
2016,1,9,6,1.24
2016,1,9,7,0.98
2016,1,9,8,0.62
2016,1,9,9,2.66
2016,1,9,10,5.68
2016,1,9,11,7.48
2016,1,9,12,8.33
2016,1,9,13,8.49
2016,1,9,14,8.19
2016,1,9,15,6.75
2016,1,9,16,4.92
2016,1,9,17,4.82
2016,1,9,18,4.39
2016,1,9,19,3.68
2016,1,9,20,3.07
2016,1,9,21,2.33
2016,1,9,22,1.37
2016,1,9,23,1.85
2016,1,10,0,2.9
2016,1,10,1,3.44
2016,1,10,2,3.77
2016,1,10,3,4.5
2016,1,10,4,5.59
2016,1,10,5,6.09
2016,1,10,6,6.25
2016,1,10,7,6.52
2016,1,10,8,6.74
2016,1,10,9,7.19
2016,1,10,10,7.35
2016,1,10,11,7.23
2016,1,10,12,7.11
2016,1,10,13,7.31
2016,1,10,14,7.87
2016,1,10,15,8.0
2016,1,10,16,7.59
2016,1,10,17,7.86
2016,1,10,18,7.96
2016,1,10,19,8.09
2016,1,10,20,8.08
2016,1,10,21,7.78
2016,1,10,22,7.48
2016,1,10,23,7.31
2016,1,11,0,7.34
2016,1,11,1,7.3
2016,1,11,2,6.62
2016,1,11,3,6.26
2016,1,11,4,5.94
2016,1,11,5,5.58
2016,1,11,6,5.23
2016,1,11,7,5.26
2016,1,11,8,4.97
2016,1,11,9,4.11
2016,1,11,10,2.96
2016,1,11,11,2.03
2016,1,11,12,1.32
2016,1,11,13,1.16
2016,1,11,14,1.17
2016,1,11,15,1.68
2016,1,11,16,3.15
2016,1,11,17,4.72
2016,1,11,18,5.67
2016,1,11,19,6.03
2016,1,11,20,6.36
2016,1,11,21,6.7
2016,1,11,22,6.96
2016,1,11,23,7.06
2016,1,12,0,7.27
2016,1,12,1,7.52
2016,1,12,2,7.8
2016,1,12,3,8.21
2016,1,12,4,8.45
2016,1,12,5,8.5
2016,1,12,6,8.62
2016,1,12,7,8.97
2016,1,12,8,10.12
2016,1,12,9,10.21
2016,1,12,10,9.71
2016,1,12,11,9.17
2016,1,12,12,8.72
2016,1,12,13,8.38
2016,1,12,14,8.09
2016,1,12,15,8.07
2016,1,12,16,7.59
2016,1,12,17,7.35
2016,1,12,18,7.07
2016,1,12,19,7.07
2016,1,12,20,7.13
2016,1,12,21,7.01
2016,1,12,22,6.8
2016,1,12,23,6.4
2016,1,13,0,5.92
2016,1,13,1,5.58
2016,1,13,2,5.31
2016,1,13,3,5.05
2016,1,13,4,4.61
2016,1,13,5,3.98
2016,1,13,6,3.34
2016,1,13,7,3.41
2016,1,13,8,2.67
2016,1,13,9,1.14
2016,1,13,10,1.14
2016,1,13,11,2.98
2016,1,13,12,4.56
2016,1,13,13,5.32
2016,1,13,14,5.22
2016,1,13,15,4.29
2016,1,13,16,3.45
2016,1,13,17,3.87
2016,1,13,18,4.28
2016,1,13,19,4.71
2016,1,13,20,4.9
2016,1,13,21,4.9
2016,1,13,22,4.84
2016,1,13,23,4.87
2016,1,14,0,4.9
2016,1,14,1,5.01
2016,1,14,2,5.06
2016,1,14,3,5.12
2016,1,14,4,5.29
2016,1,14,5,5.48
2016,1,14,6,5.63
2016,1,14,7,6.05
2016,1,14,8,7.13
2016,1,14,9,8.82
2016,1,14,10,10.37
2016,1,14,11,10.92
2016,1,14,12,11.0
2016,1,14,13,10.81
2016,1,14,14,10.22
2016,1,14,15,8.6
2016,1,14,16,6.89
2016,1,14,17,6.53
2016,1,14,18,6.4
2016,1,14,19,6.72
2016,1,14,20,6.96
2016,1,14,21,7.1
2016,1,14,22,7.36
2016,1,14,23,7.63
2016,1,15,0,7.89
2016,1,15,1,7.98
2016,1,15,2,8.05
2016,1,15,3,7.91
2016,1,15,4,7.73
2016,1,15,5,7.45
2016,1,15,6,7.11
2016,1,15,7,7.53
2016,1,15,8,8.22
2016,1,15,9,10.32
2016,1,15,10,11.7
2016,1,15,11,12.34
2016,1,15,12,12.68
2016,1,15,13,13.02
2016,1,15,14,13.17
2016,1,15,15,12.2
2016,1,15,16,10.89
2016,1,15,17,10.92
2016,1,15,18,10.41
